APP-USERNAME,SENTENCE #,SENTENCE CLAUSES,L2,L1,LANGUAGE
MEHRAD2606-pt,1,1,"O capitão exige a rendição do governo.","The captain demands the government's surrender.",pt
MEHRAD2606-pt,2,1,"Não há outra saída, diz Maia.","There is no other way out, says Maia.",pt
MEHRAD2606-pt,3,1,"As negociações são tensas e difíceis.","The negotiations are tense and difficult.",pt
MEHRAD2606-pt,4,1,"O tempo passa muito devagar.","Time passes very slowly.",pt
MEHRAD2606-pt,5,1,"A multidão grita à porta do quartel.","The crowd shouts at the door of the barracks.",pt
MEHRAD2606-pt,6,1,"Os ministros já não têm escolha.","The ministers no longer have a choice.",pt
MEHRAD2606-pt,7,1,"O capitão mantém-se calmo e firme.","The captain stays calm and firm.",pt
MEHRAD2606-pt,8,1,"Lá dentro, o medo aumenta.","Inside, the fear grows.",pt
MEHRAD2606-pt,9,1,"A pressão sobre o governo é enorme.","The pressure on the government is enormous.",pt
MEHRAD2606-pt,10,1,"A história espera por uma resposta.","History waits for an answer.",pt
