APP-USERNAME,SENTENCE #,SENTENCE CLAUSES,L2,L1,LANGUAGE
MEHRAD2606-pt,1,1,"Uma mulher vende cravos vermelhos no mercado.","A woman sells red carnations at the market.",pt
MEHRAD2606-pt,2,1,"Ela oferece as flores aos soldados.","She offers the flowers to the soldiers.",pt
MEHRAD2606-pt,3,1,"As pessoas põem cravos nas espingardas.","The people put carnations in the rifles.",pt
MEHRAD2606-pt,4,1,"Os canos das armas enchem-se de flores.","The barrels of the guns fill with flowers.",pt
MEHRAD2606-pt,5,2,"É por isso que se chama a Revolução dos Cravos.","That is why it is called the Carnation Revolution.",pt
MEHRAD2606-pt,6,1,"Os soldados sorriem para a multidão.","The soldiers smile at the crowd.",pt
MEHRAD2606-pt,7,1,"Civis e militares abraçam-se nas ruas.","Civilians and soldiers embrace in the streets.",pt
MEHRAD2606-pt,8,1,"As armas já não metem medo.","The weapons no longer frighten anyone.",pt
MEHRAD2606-pt,9,1,"As flores são o símbolo da paz.","The flowers are the symbol of peace.",pt
MEHRAD2606-pt,10,1,"Este dia nunca será esquecido.","This day will never be forgotten.",pt
