APP-USERNAME,SENTENCE #,SENTENCE CLAUSES,L2,L1,LANGUAGE
MEHRAD2606-pt,1,1,"O primeiro-ministro foge para o Quartel do Carmo.","The prime minister flees to the Carmo Barracks.",pt
MEHRAD2606-pt,2,1,"Marcelo Caetano esconde-se com os seus ministros.","Marcelo Caetano hides with his ministers.",pt
MEHRAD2606-pt,3,1,"Os soldados rodeiam o quartel.","The soldiers surround the barracks.",pt
MEHRAD2606-pt,4,1,"A multidão junta-se no Largo do Carmo.","The crowd gathers in the Largo do Carmo.",pt
MEHRAD2606-pt,5,1,"O capitão Maia chega com os seus homens.","Captain Maia arrives with his men.",pt
MEHRAD2606-pt,6,1,"O governo está cercado por todos os lados.","The government is surrounded on all sides.",pt
MEHRAD2606-pt,7,1,"As pessoas esperam ansiosas lá fora.","The people wait anxiously outside.",pt
MEHRAD2606-pt,8,1,"Ninguém quer derramar sangue.","Nobody wants to spill blood.",pt
MEHRAD2606-pt,9,1,"O fim da ditadura está perto.","The end of the dictatorship is near.",pt
MEHRAD2606-pt,10,1,"Todos olham para as janelas do quartel.","Everyone looks at the windows of the barracks.",pt
