APP-USERNAME,SENTENCE #,SENTENCE CLAUSES,L2,L1,LANGUAGE
MEHRAD2606-pt,1,1,"É o dia vinte e cinco de Abril.","It is the twenty-fifth of April.",pt
MEHRAD2606-pt,2,1,"Os soldados saem às ruas de Lisboa.","The soldiers come out into the streets of Lisbon.",pt
MEHRAD2606-pt,3,1,"Uma canção na rádio dá o sinal.","A song on the radio gives the signal.",pt
MEHRAD2606-pt,4,1,"O povo põe cravos nas espingardas.","The people put carnations in the rifles.",pt
MEHRAD2606-pt,5,1,"Ninguém dispara um único tiro.","Nobody fires a single shot.",pt
MEHRAD2606-pt,6,1,"Os capitães de Abril lideram a revolução.","The captains of April lead the revolution.",pt
MEHRAD2606-pt,7,1,"A ditadura chega ao fim nessa manhã.","The dictatorship comes to an end that morning.",pt
MEHRAD2606-pt,8,1,"As pessoas abraçam-se nas praças.","People embrace one another in the squares.",pt
MEHRAD2606-pt,9,1,"A liberdade nasce ao amanhecer.","Freedom is born at dawn.",pt
MEHRAD2606-pt,10,1,"Portugal acorda finalmente livre.","Portugal finally wakes up free.",pt
