APP-USERNAME,SENTENCE #,SENTENCE CLAUSES,L2,L1,LANGUAGE
KATJAG2602-en,1,1,"Recording my own voice is hard for me.","Snemanje lastnega glasu mi je težko.",en
KATJAG2602-en,2,2,"When I hear my voice, it sounds strange to me.","Ko slišim svoj glas, se mi zdi čuden.",en
KATJAG2602-en,3,1,"But I know I have to keep going.","A vem, da moram vztrajati.",en
KATJAG2602-en,4,2,"I speak too fast, even in Slovenian.","Govorim prehitro, celo v slovenščini.",en
KATJAG2602-en,5,1,"In English, my words want to rush ahead.","V angleščini me besede hočejo prehitevati.",en
KATJAG2602-en,6,1,"The music of English is not the same as the music of Slovenian.","Glasba angleščine ni enaka glasbi slovenščine.",en
KATJAG2602-en,7,1,"I am learning to speak a little more slowly.","Učim se govoriti malo počasneje.",en
KATJAG2602-en,8,1,"I want to listen to myself when I speak.","Želim poslušati sebe, ko govorim.",en
KATJAG2602-en,9,2,"When I get stuck, I take a moment to think.","Ko se zataknem, si vzamem trenutek za razmislek.",en
KATJAG2602-en,10,1,"Step by step, my voice is getting better.","Korak za korakom postaja moj glas boljši.",en
