APP-USERNAME,SENTENCE #,SENTENCE CLAUSES,L2,L1,LANGUAGE
MEHRAD2606-pt,1,1,"A coluna parte de Santarém.","The column sets off from Santarém.",pt
MEHRAD2606-pt,2,1,"Os camiões seguem pela estrada escura.","The trucks drive along the dark road.",pt
MEHRAD2606-pt,3,1,"Os soldados estão calados e nervosos.","The soldiers are quiet and nervous.",pt
MEHRAD2606-pt,4,1,"O capitão vai à frente de todos.","The captain goes ahead of everyone.",pt
MEHRAD2606-pt,5,1,"Faltam muitos quilómetros até à capital.","There are many kilometres left to the capital.",pt
MEHRAD2606-pt,6,1,"Alguns jovens nunca dispararam uma arma.","Some young men have never fired a weapon.",pt
MEHRAD2606-pt,7,1,"Mantenham a calma, diz o capitão.","Stay calm, says the captain.",pt
MEHRAD2606-pt,8,1,"O céu começa a ficar mais claro.","The sky begins to get lighter.",pt
MEHRAD2606-pt,9,1,"Lisboa ainda dorme tranquila.","Lisbon still sleeps peacefully.",pt
MEHRAD2606-pt,10,1,"A revolução aproxima-se da cidade.","The revolution draws near to the city.",pt
