APP-USERNAME,SENTENCE #,SENTENCE CLAUSES,L2,L1,LANGUAGE
MEHRAD2606-pt,1,1,"As tropas entram finalmente em Lisboa.","The troops finally enter Lisbon.",pt
MEHRAD2606-pt,2,1,"Os carros ocupam o Terreiro do Paço.","The vehicles occupy the Terreiro do Paço.",pt
MEHRAD2606-pt,3,1,"O capitão instala-se junto ao rio.","The captain sets up next to the river.",pt
MEHRAD2606-pt,4,1,"Os soldados tomam pontos importantes da cidade.","The soldiers take important points of the city.",pt
MEHRAD2606-pt,5,1,"As pessoas ainda não sabem de nada.","The people still know nothing.",pt
MEHRAD2606-pt,6,1,"As ruas estão quase vazias de manhã cedo.","The streets are almost empty early in the morning.",pt
MEHRAD2606-pt,7,1,"O plano está a correr bem.","The plan is going well.",pt
MEHRAD2606-pt,8,1,"Os militares esperam pela resposta do governo.","The soldiers wait for the government's response.",pt
MEHRAD2606-pt,9,1,"A tensão cresce a cada minuto.","The tension grows by the minute.",pt
MEHRAD2606-pt,10,1,"O rio Tejo brilha com a luz da manhã.","The Tagus river shines with the morning light.",pt
