APP-USERNAME,SENTENCE #,SENTENCE CLAUSES,L2,L1,LANGUAGE
MEHRAD2606-pt,1,1,"Os oficiais reúnem-se em segredo.","The officers meet in secret.",pt
MEHRAD2606-pt,2,1,"O capitão Salgueiro Maia explica o plano.","Captain Salgueiro Maia explains the plan.",pt
MEHRAD2606-pt,3,1,"Os jovens militares querem mudar o país.","The young soldiers want to change the country.",pt
MEHRAD2606-pt,4,1,"Esta noite vamos acabar com a ditadura.","Tonight we are going to end the dictatorship.",pt
MEHRAD2606-pt,5,1,"Os soldados ouvem as ordens em silêncio.","The soldiers listen to the orders in silence.",pt
MEHRAD2606-pt,6,2,"Muitos têm medo, mas confiam no capitão.","Many are afraid, but they trust the captain.",pt
MEHRAD2606-pt,7,1,"O Movimento das Forças Armadas prepara tudo.","The Armed Forces Movement prepares everything.",pt
MEHRAD2606-pt,8,1,"As armas estão prontas no quartel.","The weapons are ready in the barracks.",pt
MEHRAD2606-pt,9,1,"Ninguém pode saber o que vai acontecer.","Nobody can know what is going to happen.",pt
MEHRAD2606-pt,10,1,"A coragem é mais forte do que o medo.","Courage is stronger than fear.",pt
