APP-USERNAME,SENTENCE #,SENTENCE CLAUSES,L2,L1,LANGUAGE
KATJAG2602-en,1,1,"This week I made time to learn English every day.","Ta teden sem si vsak dan vzela čas za učenje angleščine.",en
KATJAG2602-en,2,2,"It was hard to find the time, but I did it.","Težko je bilo najti čas, a mi je uspelo.",en
KATJAG2602-en,3,1,"On Monday I do all my work for the week.","V ponedeljek opravim vse delo za cel teden.",en
KATJAG2602-en,4,2,"Even at work, I open YouTube and listen to English.","Tudi v službi odprem YouTube in poslušam angleščino.",en
KATJAG2602-en,5,1,"I use LingQ and FluentU to read and listen.","Za branje in poslušanje uporabljam LingQ in FluentU.",en
KATJAG2602-en,6,1,"It took me a long time to choose what to consume.","Dolgo časa mi je vzelo, da sem izbrala, kaj naj poslušam in berem.",en
KATJAG2602-en,7,1,"Sometimes what I read and listen to is too easy for me.","Včasih je to, kar berem in poslušam, zame prelahko.",en
KATJAG2602-en,8,1,"I want to try something a little more difficult.","Želim poskusiti nekaj malo težjega.",en
KATJAG2602-en,9,1,"I also do a lot of shadowing.","Veliko delam tudi shadowing (senčenje govora).",en
KATJAG2602-en,10,1,"I am trying to spend much more time with the language.","Trudim se preživeti veliko več časa z jezikom.",en
