APP-USERNAME,SENTENCE #,SENTENCE CLAUSES,L2,L1,LANGUAGE
MEHRAD2606-pt,1,1,"Na rádio toca uma canção especial.","A special song plays on the radio.",pt
MEHRAD2606-pt,2,1,"Esta música é o primeiro sinal.","This music is the first signal.",pt
MEHRAD2606-pt,3,1,"Já passa da meia-noite em Lisboa.","It is already past midnight in Lisbon.",pt
MEHRAD2606-pt,4,1,"Depois toca a canção Grândola, Vila Morena.","Then the song Grândola, Vila Morena plays.",pt
MEHRAD2606-pt,5,1,"É o sinal para começar a revolução.","It is the signal to start the revolution.",pt
MEHRAD2606-pt,6,1,"Os soldados saem dos quartéis.","The soldiers leave the barracks.",pt
MEHRAD2606-pt,7,1,"As colunas de carros militares avançam.","The columns of military vehicles advance.",pt
MEHRAD2606-pt,8,1,"O capitão dá a ordem de partir.","The captain gives the order to set off.",pt
MEHRAD2606-pt,9,1,"A noite está escura e fria.","The night is dark and cold.",pt
MEHRAD2606-pt,10,1,"Ninguém sabe se o plano vai resultar.","Nobody knows if the plan will work.",pt
