APP-USERNAME,SENTENCE #,SENTENCE CLAUSES,L2,L1,LANGUAGE
MEHRAD2606-pt,1,1,"O governo manda tropas contra os rebeldes.","The government sends troops against the rebels.",pt
MEHRAD2606-pt,2,1,"Um tanque aponta para os homens do capitão.","A tank points at the captain's men.",pt
MEHRAD2606-pt,3,1,"O comandante recebe a ordem de disparar.","The commander receives the order to fire.",pt
MEHRAD2606-pt,4,1,"Mas ele não quer matar outros portugueses.","But he does not want to kill other Portuguese.",pt
MEHRAD2606-pt,5,1,"Os dois lados ficam frente a frente.","The two sides stand face to face.",pt
MEHRAD2606-pt,6,1,"O silêncio é quase insuportável.","The silence is almost unbearable.",pt
MEHRAD2606-pt,7,1,"Por fim, o tanque baixa o canhão.","Finally, the tank lowers its cannon.",pt
MEHRAD2606-pt,8,1,"Os soldados recusam-se a atirar.","The soldiers refuse to shoot.",pt
MEHRAD2606-pt,9,1,"É uma revolução sem violência.","It is a revolution without violence.",pt
MEHRAD2606-pt,10,1,"A esperança vence o medo.","Hope defeats fear.",pt
