APP-USERNAME,SENTENCE #,SENTENCE CLAUSES,L2,L1,LANGUAGE
MEHRAD2606-pt,1,1,"Caetano entrega o poder ao general Spínola.","Caetano hands over power to General Spínola.",pt
MEHRAD2606-pt,2,1,"A ditadura cai depois de quase cinquenta anos.","The dictatorship falls after almost fifty years.",pt
MEHRAD2606-pt,3,1,"A notícia espalha-se por toda a cidade.","The news spreads through the whole city.",pt
MEHRAD2606-pt,4,2,"Mas frente à polícia política ouvem-se tiros.","But in front of the secret police, shots are heard.",pt
MEHRAD2606-pt,5,1,"A PIDE dispara contra a multidão.","The PIDE fires at the crowd.",pt
MEHRAD2606-pt,6,1,"Quatro pessoas morrem nesse dia.","Four people die that day.",pt
MEHRAD2606-pt,7,1,"São as únicas vítimas da revolução.","They are the only victims of the revolution.",pt
MEHRAD2606-pt,8,1,"O povo chora os seus mortos.","The people mourn their dead.",pt
MEHRAD2606-pt,9,1,"Mas a liberdade já não pode ser parada.","But freedom can no longer be stopped.",pt
MEHRAD2606-pt,10,1,"O velho regime chega ao fim.","The old regime comes to an end.",pt
