APP-USERNAME,SENTENCE #,SENTENCE CLAUSES,L2,L1,LANGUAGE
MEHRAD2606-pt,1,1,"A rádio pede às pessoas para ficarem em casa.","The radio asks people to stay at home.",pt
MEHRAD2606-pt,2,1,"Mas o povo não obedece.","But the people do not obey.",pt
MEHRAD2606-pt,3,1,"Homens e mulheres saem para as ruas.","Men and women come out into the streets.",pt
MEHRAD2606-pt,4,1,"Todos querem ver os soldados.","Everyone wants to see the soldiers.",pt
MEHRAD2606-pt,5,1,"A multidão enche as praças de Lisboa.","The crowd fills the squares of Lisbon.",pt
MEHRAD2606-pt,6,1,"As pessoas gritam pela liberdade.","The people shout for freedom.",pt
MEHRAD2606-pt,7,1,"Ninguém tem medo dos militares.","Nobody is afraid of the soldiers.",pt
MEHRAD2606-pt,8,1,"As crianças sobem para cima dos tanques.","The children climb onto the tanks.",pt
MEHRAD2606-pt,9,1,"A cidade inteira está na rua.","The whole city is in the street.",pt
MEHRAD2606-pt,10,1,"Algo histórico está a acontecer.","Something historic is happening.",pt
